"","x"
"1",5778.23629887875
"2",2664.24621696507
"3",12211.0658702166
"4",2351.65077423975
"5",2447.6289914846
"6",5998.59695073513
"7",5826.22540750117
"8",2207.68344837248
"9",2904.19176007719
"10",12580.8617138493
"11",9594.51494232799
"12",2447.6289914846
"13",5730.24719025633
"14",5682.2580816339
"15",5922.20362474602
"16",5764.11927353202
"17",6046.28346021814
"18",5908.08659939929
"19",5400.10367973021
"20",2906.61548165346
"21",5664.7100138331
"22",8682.72187850194
"23",8682.72187850194
"24",5730.24719025633
"25",9718.59477780011
"26",8956.53950488975
"27",8778.70009574679
"28",16106.1436538893
"29",5922.20362474602
"30",2712.23532558749
"31",2399.63988286217
"32",5970.19273336845
"33",6306.11649372541
"34",2495.61810010702
"35",16346.0891970014
"36",5634.26897301148
"37",9334.68190882072
"38",5956.07570802172
"39",2207.68344837248
"40",2472.28978247537
"41",18917.6235536767
"42",2954.60459027589
"43",2447.6289914846
"44",12961.712531154
"45",5956.07570802172
"46",5160.15813661809
"47",2568.26799972022
"48",5682.2580816339
"49",2326.28563315316
"50",2687.57453459672
"51",2470.25295902043
"52",2159.69433975005
"53",5352.11457110779
"54",5907.0792785215
"55",16825.9802832256
"56",2591.59631735187
"57",5922.20362474602
"58",13060.6632858079
"59",2159.69433975005
"60",2495.61810010702
"61",6162.14916785814
"62",12580.7721995837
"63",8730.71098712436
"64",2255.6725569949
"65",2159.69433975005
"66",2303.66166561733
"67",9142.72547433102
"68",9244.4741566243
"69",6096.61199143492
"70",2326.28563315316
"71",2831.54186046399
"72",8778.70009574679
"73",9594.51494232799
"74",5764.11927353202
"75",2278.29652453074
"76",5806.33791710602
"77",2326.28563315316
"78",2568.26799972022
"79",3002.59369889831
"80",5826.22540750117
"81",2904.19176007719
"82",5826.22540750117
"83",5902.31613435086
"84",2399.63988286217
"85",5352.11457110779
"86",8667.59753227741
"87",10156.2672204504
"88",2591.59631735187
"89",9258.59118197103
"90",19637.4601830131
"91",2712.23532558749
"92",5664.7100138331
"93",6142.26167746299
"94",6003.05749576634
"95",2520.2788910978
"96",19109.5799881664
"97",2664.24621696507
"98",8730.71098712436
"99",16634.0238487359
"100",2351.65077423975
"101",5778.23629887875
"102",5998.29435159571
"103",2351.65077423975
"104",2472.28978247537
"105",5812.10838215445
"106",2616.25710834264
"107",6430.19632919753
"108",2712.23532558749
"109",9196.48504800187
"110",19010.6292335125
"111",2566.23117626528
"112",8970.65653023648
"113",2399.63988286217
"114",2518.24206764286
"115",5826.22540750117
"116",2808.21354283234
"117",2472.28978247537
"118",5778.23629887875
"119",9388.44148249157
"120",2568.26799972022
"121",6051.04660438877
"122",2664.24621696507
"123",6003.05749576634
"124",5682.2580816339
"125",5730.24719025633
"126",6000.63377419007
"127",2568.26799972022
"128",16301.0726257881
"129",8826.68920436921
"130",2159.69433975005
"131",6195.01393025604
"132",5326.7494300212
"133",5712.69912245553
"134",6531.94501149081
"135",2904.19176007719
"136",5874.2145161236
"137",2374.27474177559
"138",5998.29435159571
"139",19154.5965593797
"140",5710.66229900059
"141",9196.48504800187
"142",5808.67733970038
"143",6066.17095061329
"144",5448.09278835263
"145",5874.2145161236
"146",2495.61810010702
"147",2591.59631735187
"148",8730.71098712436
"149",8826.68920436921
"150",2424.30067385295
"151",5874.2145161236
"152",5778.23629887875
"153",5568.73179658826
"154",9526.63834331041
"155",16106.1436538893
"156",18914.6510162676
"157",5859.09016989907
"158",5682.2580816339
"159",5634.26897301148
"160",9387.43416161377
"161",5634.26897301148
"162",3098.57191614316
"163",12532.7830909613
"164",2472.28978247537
"165",5448.09278835263
"166",2472.28978247537
"167",5730.24719025633
"168",9003.52129263438
"169",12532.7830909613
"170",6046.28346021814
"171",2399.63988286217
"172",2712.23532558749
"173",8730.71098712436
"174",6306.11649372541
"175",2664.24621696507
"176",2159.69433975005
"177",5908.08659939929
"178",12865.7343139091
"179",2808.21354283234
"180",5778.23629887875
"181",10012.2998945831
"182",2495.61810010702
"183",5902.31613435086
"184",2712.23532558749
"185",2712.23532558749
"186",2399.63988286217
"187",5860.09749077687
"188",16154.1327625117
"189",6338.98125612331
"190",2712.23532558749
"191",5856.6664483228
"192",6004.06481664414
"193",6238.23989470783
"194",2422.26385039801
"195",6094.27256884056
"196",2351.65077423975
"197",3384.08284630143
"198",19490.5203197367
"199",5682.2580816339
"200",2470.25295902043
"201",2518.24206764286
"202",6196.02125113384
"203",2374.27474177559
"204",5998.29435159571
"205",5730.24719025633
"206",16442.0674142462
"207",19154.5965593797
"208",5400.10367973021
"209",5712.69912245553
"210",6144.60110005734
"211",2808.21354283234
"212",2616.25710834264
"213",2326.28563315316
"214",6162.14916785814
"215",8860.5612876449
"216",9210.6020733486
"217",5730.24719025633
"218",2712.23532558749
"219",2712.23532558749
"220",5730.24719025633
"221",5778.23629887875
"222",6162.14916785814
"223",12580.7721995837
"224",5778.23629887875
"225",5806.33791710602
"226",5956.07570802172
"227",3240.11552043416
"228",2906.61548165346
"229",2495.61810010702
"230",6052.05392526657
"231",18914.6510162676
"232",5826.22540750117
"233",6066.17095061329
"234",9930.43870268496
"235",2808.21354283234
"236",2808.21354283234
"237",2856.20265145476
"238",5907.0792785215
"239",5778.23629887875
"240",5730.24719025633
"241",6238.23989470783
"242",12961.712531154
"243",13009.7016397764
"244",6306.11649372541
"245",9526.63834331041
"246",2808.21354283234
"247",6435.96679424596
"248",5400.10367973021
"249",9478.64923468799
"250",2662.20939351013
"251",9210.6020733486
"252",16394.0783056238
"253",5712.69912245553
"254",16154.1327625117
"255",2520.2788910978
"256",2326.28563315316
"257",2399.63988286217
"258",5352.11457110779
"259",16154.1327625117
"260",2303.66166561733
"261",12532.7830909613
"262",16106.1436538893
"263",5998.29435159571
"264",2303.66166561733
"265",2591.59631735187
"266",2399.63988286217
"267",2927.52007770884
"268",5922.20362474602
"269",9066.63474748133
"270",15581.2359964517
"271",5998.29435159571
"272",5922.20362474602
"273",9622.61656055526
"274",5634.26897301148
"275",6099.03571301119
"276",5826.22540750117
"277",5208.14724524051
"278",2303.66166561733
"279",2568.26799972022
"280",6046.28346021814
"281",2616.25710834264
"282",5826.22540750117
"283",6192.59020867977
"284",2159.69433975005
"285",6339.98857700111
"286",12143.1892711991
"287",2518.24206764286
"288",5952.64466556765
"289",2616.25710834264
"290",5908.08659939929
"291",2712.23532558749
